1,"A Figure among cyphers.",अंधों में काना राजा |
2,"All is well that ends well.",अंत भला सो भला |
3,"He that is warm thinks all are so.",आप सुखी तो जग सुखी |
4,"Out of the frying pan into the fire.",आम से टपका बगल में अटका |
5,"Self praise is no recommendation.",अपने मुहं मियां मिट्ठू मत बनो |
6,"Haste makes waste/Hurry spoils curry.",आगे दौड़ पीछे चौड |
7,"Out of sight, out of mind.",आँख ओझल पहाड़ ओझल |
8,"Necessity is the mother of invention.",आवश्यकता अविष्कार की जननी है |
9,"A blindman is no judge of colours.",अन्धा क्या जाने बसंत की बहार |
10,"Blood is thicker than water.",अपना अपना, पराया पराया |
11,"Handsome is that handsome does.",अच्छा वही जो अच्छा कार्य करे |
12,"Prevention is batter than cure.",इलाज से परहेज अच्छा |
13,"A drop of the ocean.",ऊंट के मुहं में जीरा |
14,"Example is better than precept.",उपदेश देने से स्वयं उपदेशों पर चलना बेहतर है |
15,"It takes two make a row/quarrel.",एक हाथ से ताली नहीं बजती |
16,"Two kill two birds with one stone.",एक पंथ दो काज |
17,"Union is Strength.",एकता में बल |
18,"Silence is the best.",एक चुप सौ सुख |
19,"A single sheep infects the whole flock.",एक गंदी मछली सारे तालाब को गंदा कर देती है |
20,"Much cry, little wool.",ऊँची दुकान फीका पकवान |
21,"Godness never goes unrewarded.",कर भला हो भला |
22,"Uneasy lies the head that wears the crown.",कोठी वाला रोये, छप्पर वाला सोये |
23,"Two of a trade seldom agree.",कुत्ते का कुत्ता बैरी |
24,"Familiarity breeds contempt.",कद्र खोद देता है रोज का आना जाना |
25,"practice makes a man perfect.",करत करत अभ्यास से जड्मुती होत सुजान |
26,"An idle man’s brain is a devil’s workshop.",खाली बैठे सैतानी सूझे |
27,"Much ado about nothing.",खोदा पहाड़ निकली चुहिया |
28,"There is many a slip between the cup and the lip.",कानी के ब्याह में नौ सौ जोखिम |
29,"What cannot be cured."nust be endured.,गले पड़ा ढ़ोल बजाना ही पड़ता है |
30,"To build castles in the air.",घर घोडा नकास मोल |
31,"When the cat is away, the mice will play.",घर वाला घर नहीं हमें किसी का दर नहीं |
32,"A nine day’s wonder.",चार दिन की चांदनी फिर अँधेरी रात |
33,"Birds of a feather flock together.",चोर-चोर मौसेरे भाई |
34,"Nothing succeeds like success.",चलती का नाम गाढ़ी |
35,"Forbidden fruit is sweet.",चोरी का गुड मीठा होता है |
36,"As you sow, so shall you reap.",जैसा करोगे वैसा भरोगे |
37,"Barking dog seldom bite.",जो गरजते हैं वो बरसते नहीं |
38,"Evil gotten, evil spent.",जैसा आया वैसा गया |
39,"Might is right.",जिसकी लाठी उसकी भैंस |
40,"No one knows the weight of another’s burben.",जाके पांव न फटी बुवाई सो क्या जाने पीर पराई |
41,"Tit for tat.",जैसे तो तैसा |
42,"Hope sustains life.",जब तक सांस तब तक आस |
43,"The deeper the well, the sweeter the water.",जितना गुड डालोगे उतना ही मीठा होगा |
44,"Where there is a flower, there is a thorn.",जहाँ फूल वहां काँटा |
45,"So many man, so many minds.",जितने मुहं उतनी ही बात |
46,"A liar has no legs to stand upon.",झूठ के पांव नही होते |
47,"A drowning man catches at a straw.",डूबते को तिनके का सहारा |
48,"Cowards die so many times before their death.",डरे सो मरे |
49,"Cut you coat according to your cloth.",तेते पावं पसारिये जेती लम्बी सौर |
50,"Your visits are few and far between.",तुम तो ईद के चाँद हो गये |
51,"You are chips of the same block.",तुम एक ही थैली के चट्टे-बट्टे हो |
52,"Good health is above wealth.",तंदरुस्ती हजार नियामत|
53,"An empty vessel sounds high.",थोथा चना बाजे घना |
54,"A burnt child dreads the fire.",दूध का जला छाछ को भी फूंक कर पीता है |
55,"Poverty breeds stife.",दरिद्रता कहल की जड़ है |
56,"Let us see which way the wind blows.",तेल देखो तेल की धार देखो |
57,"Mone makes the mare go.",दाम बनाये काम |
58,"Distance lands charm the viewer.",दूर के ढ़ोल सुहावने |
59,"There is something wrong at the bottom.",डाल में कुछ काला है |
60,"Money begets money.",धन से धन कमाया जाता है |
61,"A rolling stone gathers no mass.",धोबी का कुत्ता घर का न घाट का |
62,"A bad workman quarrels with his tools.",नाच न जाने अगन टेढ़ा |
63,"A bird in hand is batter than two in the bush.",नौ नकद न तेरह उधार |
64,"A little knowledge is a dangerous thing.",नीम हकीम खतरे जान |
65,"Do good and cast it into the river.",नेकी कर दलिया में डाल |
66,"Adversity tries friends.",निर्धनता में मित्रों की पहचान होती है |
67,"It is hard to live in Rome and fight with the pope.",नदी में रहना और मगरमच्छ से बैर |
68,"A light purse is a heavy curse.",निर्धन की पत्नी सबकी भाबी |
69,"Every dark clouds has a silver lining.",निराशा में भी आसा की झलक होती है |
70,"Ill got, ill spent.",पाप का धन प्रायश्चित में जाता है |
71,"Think before you speak.",पहले तोलो फिर बोलो |
72,"When God wills all winds bring rain.",परमात्मा देता है तो छप्पर फाड़ के देता है |
73,"Curst cows have short horns.",परमात्मा गंजे को नाख़ून न दे |
74,"Charity begins at home.",पहले अपना फिर पराया |
75,"A bas man is batter than a bad name.",बद अच्छा बदनाम बुरा |
76,"Let bygones by bygones.",बीती सो बीती |
77,"Make the best of every chance.",बहती गंगा में हाथ धोना |
78,"Many a little makes a mickle.",बूंद-बूंद करके घड़ा भरता है |
79,"No pains, no gains.",बिना सेवा मेवा नहीं |
80,"To cast pearls before swine.",बन्दर क्या जाने अदरक का स्वाद |
81,"Too many cooks spoil the broth.",बहुत से जोगी मठ उजाड़ |
82,"Better alone than in a bad company.",बुरी संगत से अकेला भला |
83,"It is batter to wear out than to rust out.",बेकार से बेगार भली |
84,"A nod to the wise and a rod to the foolish.",बुद्धिमान को संकेत और मुर्ख के लिए फटकार |
85,"When the purse is full friends are plenty.",बनी के सभी मित्र बिगड़ी का कोई नहीं |
86,"Time once passed/gone can never be recalled.",बीता हुआ समय कभी हाथ नहीं आता |
87,"A ckosed mouth catches no fly.",बिना रोये माँ भी दूध नहीं देती |
88,"Nip the evil in the bud.",बुराई को आरंभ में ही दबा दो |
89,"Crying in wilderness.",भैंस के आगे बीन बजाना |
90,"Something is better than nothing.",भागते चोर की लंगोटी ही सही |
91,"Chance of fortune iss the lot of life.",भगवान की माया , कहीं धूप कहीं छाया |
92,"A wolf in lamb’s clothing.",मुख में राम ,बगल में छुरी |
93,"Man process, God disposes.",मेरे मन में कुछ और है ,करता कें कुछ और |
94,"Misfortunes never come alone/singly.",मुसीबत कभी अकेले नहीं आती |
